TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BOBR4;1,39;;4,97;383,59;0,39;41,02;13,83;4,73;1,70;2,68;1,23;277,35;0,24;-21,45;-0,85;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;14.206,39;0,00;0,28;-0,15;308.438.619,18
BPAC11;46,70;2,26;14,20;2,68;0,27;43,02;42,32;35,02;11,75;11,75;;;4,97;-0,37;-0,27;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;310.700.851,91;17,43;3,29;0,82;179.111.933.545,87
BPAC3;24,81;1,42;22,63;4,27;0,43;43,02;42,32;35,02;18,73;11,75;;;7,92;-0,60;-0,44;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;74.675,78;5,81;1,10;1,31;179.111.933.545,87
BPAC5;10,44;3,37;9,52;1,80;0,18;43,02;42,32;35,02;7,88;11,75;;;3,33;-0,25;-0,18;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;22.574,52;5,81;1,10;0,55;179.111.933.545,87
BPAN4;7,93;3,05;25,13;1,34;0,15;40,14;0,30;2,73;227,60;227,60;;;0,69;-111,61;-0,15;0,02;5,33;0,60;;0,11;0,89;0,22;10,77;-8,43;7.602.479,26;5,92;0,32;-0,73;10.063.725.813,70
BPAR3;117,42;10,42;3,81;0,50;0,06;50,96;11,97;8,37;2,66;2,66;;;0,32;4,03;-0,06;;13,14;1,51;;0,11;0,89;0,18;14,76;-1,95;0,00;234,80;30,85;-0,19;1.118.032.025,58
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;15,62;11,81;5,67;0,70;0,70;;;;6,07;6,15;-0,29;-0,03;;24,63;-0,72;6,50;12,34;12,27;11,52;0,99;0,01;0,00;;;386.232,52;22,31;2,75;-0,14;6.517.726.981,96
BRAP4;17,10;11,86;6,21;0,77;0,76;;;;6,64;6,15;-0,29;-0,03;;26,97;-0,79;6,50;12,34;12,27;11,52;0,99;0,01;0,00;;;38.330.863,57;22,31;2,75;-0,15;6.517.726.981,96
